-1,-1,-1,0.300261
-1,-1,-0.333333,0.404632
-1,-1,0.333333,0.208126
-1,-1,1,0.272189
-1,-0.818182,-1,0.452993
-1,-0.818182,-0.333333,0.611574
-1,-0.818182,0.333333,0.452993
-1,-0.818182,1,0.316816
-1,-0.636364,-1,0.662648
-1,-0.636364,-0.333333,0.865191
-1,-0.636364,0.333333,0.396733
-1,-0.636364,1,0.456599
-1,-0.272727,-1,0.660865
-1,-0.272727,-0.333333,0.443983
-1,-0.272727,0.333333,0.392256
-1,-0.272727,1,0.86479
-1,-0.0909091,-1,0.439653
-1,-0.0909091,-0.333333,0.28924
-1,-0.0909091,0.333333,0.313449
-1,-0.0909091,1,0.592489
-1,0.0909091,-1,0.276931
-1,0.0909091,-0.333333,0.166285
-1,0.0909091,0.333333,0.190676
-1,0.0909091,1,0.390965
-1,0.272727,-1,0.156206
-1,0.272727,-0.333333,0.0745368
-1,0.272727,0.333333,0.0968426
-1,0.272727,1,0.241425
-1,0.454545,-1,0.0664302
-1,0.454545,-0.333333,0.00598632
-1,0.454545,0.333333,0.0252878
-1,0.454545,1,0.130202
-1,0.636364,-1,-0.000433945
-1,0.636364,-0.333333,-0.0451657
-1,0.636364,0.333333,-0.0289495
-1,0.636364,1,0.0473389
-1,0.818182,-1,-0.050031
-1,0.818182,-0.333333,-0.0817742
-1,0.818182,0.333333,-0.0687466
-1,0.818182,1,-0.0143364
-1,1,-1,-0.0829304
-1,1,-0.333333,-0.0859971
-1,1,0.333333,-0.0794989
-1,1,1,-0.0580316
-0.818182,-1,-1,0.260672
-0.818182,-1,-0.333333,0.170399
-0.818182,-1,0.333333,0.0912951
-0.818182,-1,1,0.170399
-0.818182,-0.636364,-1,0.449698
-0.818182,-0.636364,-0.333333,-0.750478
-0.818182,-0.636364,0.333333,0.0584268
-0.818182,-0.636364,1,0.337329
-0.818182,-0.272727,-1,0.445089
-0.818182,-0.272727,-0.333333,0.303663
-0.818182,-0.272727,0.333333,0.0635534
-0.818182,-0.272727,1,-0.749326
-0.818182,-0.0909091,-1,0.395295
-0.818182,-0.0909091,-0.333333,0.191074
-0.818182,-0.0909091,0.333333,0.173802
-0.818182,-0.0909091,1,0.311969
-0.818182,0.0909091,-1,0.253735
